,nombre,serving_size,kcal,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
63,pan tostado de trigo,100 g,313,4.3g,1g,0,601.00 mg,22.1 mg,86.00 mcg,20.00 mcg,6.250 mg,0.456 mg,0.382 mg,0.439 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,50.00 mcg,0,0.00 mcg,0.153 mg,0.2 mg,0.00 IU,0.24 mg,0.24 mg,5.7 mcg,165.00 mg,0.198 mg,4.09 mg,59.00 mg,1.377 mg,188.00 mg,223.00 mg,33.4 mcg,1.47 mg,12.96 g,0.245 g,0.311 g,0.348 g,0.154 g,2.060 g,0.262 g,0.150 g,0,0.258 g,0.461 g,0.215 g,0.105 g,0.315 g,0.682 g,0.310 g,0.299 g,0.092 g,0.165 g,0.310 g,55.77 g,4.7 g,6.42 g,0,0,0,0,0,0,4.27 g,0.989 g,1.019 g,1.720 g,0.00 mg,0.0 g,2.77 g,0.00 mg,0.00 mg,24.23 g
66,ajo en polvo,100 g,331,0.7g,0.2g,0,60.00 mg,67.5 mg,47.00 mcg,0.00 mcg,0.796 mg,0.743 mg,0.141 mg,0.435 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,1.654 mg,1.2 mg,0.00 IU,0.67 mg,0.67 mg,0.4 mcg,79.00 mg,0.533 mg,5.65 mg,77.00 mg,0.979 mg,414.00 mg,1193.00 mg,23.9 mcg,2.99 mg,16.55 g,0.485 g,3.365 g,1.890 g,0.253 g,3.658 g,0.525 g,0.263 g,0.000 g,0.414 g,0.728 g,0.768 g,0.111 g,0.525 g,1.354 g,0.505 g,0.374 g,0.121 g,0.445 g,0.667 g,72.73 g,9.0 g,2.43 g,0.31 g,0.00 g,0.07 g,0.00 g,0.00 g,2.05 g,0.73 g,0.249 g,0.115 g,0.178 g,0.00 mg,0.0 g,3.54 g,0.00 mg,0.00 mg,6.45 g
67,aceite de soya,100 g,763,100g,15g,0,0.00 mg,350.0 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,8.18 mg,8.18 mg,183.9 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,15.005 g,10.977 g,45.318 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
68,huevo fresco,100 g,322,27g,9.6g,1085mg,48.00 mg,820.2 mg,146.00 mcg,0.00 mcg,0.024 mg,2.990 mg,0.528 mg,0.176 mg,1442.00 IU,381.00 mcg,38.00 mcg,88.00 mcg,33.00 mcg,1094.00 mcg,0,1.95 mcg,0.350 mg,0.0 mg,218.00 IU,2.58 mg,2.58 mg,0.7 mcg,129.00 mg,0.077 mg,2.73 mg,5.00 mg,0.055 mg,390.00 mg,109.00 mg,56.0 mcg,2.30 mg,15.86 g,0.836 g,1.099 g,1.550 g,0.264 g,1.970 g,0.488 g,0.416 g,0,0.866 g,1.399 g,1.217 g,0.378 g,0.681 g,0.646 g,1.326 g,0.687 g,0.177 g,0.678 g,0.949 g,3.59 g,0.0 g,0.56 g,0.07 g,0.07 g,0.18 g,0.07 g,0.07 g,0.07 g,26.54 g,9.551 g,11.738 g,4.204 g,1085.00 mg,0.0 g,1.71 g,0.00 mg,0.00 mg,52.31 g
70,pastrami de res,100 g,147,5.8g,2.7g,68mg,1078.00 mg,81.6 mg,6.00 mcg,0.00 mcg,4.260 mg,0.265 mg,0.161 mg,0.052 mg,42.00 IU,2.00 mcg,0.00 mcg,22.00 mcg,6.00 mcg,11.00 mcg,0,1.87 mcg,0.221 mg,0.3 mg,4.00 IU,0.12 mg,0.12 mg,0.7 mcg,10.00 mg,0.091 mg,2.22 mg,17.00 mg,0.027 mg,175.00 mg,210.00 mg,17.7 mcg,4.98 mg,21.80 g,1.303 g,1.390 g,1.955 g,0.277 g,3.221 g,1.306 g,0.684 g,0.225 g,0.976 g,1.706 g,1.812 g,0.558 g,0.847 g,1.022 g,0.845 g,0.857 g,0.141 g,0.683 g,1.065 g,0.36 g,0.0 g,0.10 g,0.01 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,5.82 g,2.681 g,2.118 g,0.145 g,68.00 mg,0.0 g,3.40 g,0.00 mg,0.00 mg,69.53 g
74,helado de chocolate,100 g,216,11g,6.8g,34mg,76.00 mg,22.5 mg,16.00 mcg,0.00 mcg,0.226 mg,0.554 mg,0.194 mg,0.042 mg,416.00 IU,118.00 mcg,0.00 mcg,19.00 mcg,0.00 mcg,0.00 mcg,0,0.29 mcg,0.055 mg,0.7 mg,8.00 IU,0.30 mg,0.30 mg,0.3 mcg,109.00 mg,0.135 mg,0.93 mg,29.00 mg,0.140 mg,107.00 mg,249.00 mg,2.5 mcg,0.58 mg,3.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.20 g,1.2 g,25.36 g,0,0,0,0,0,0,11.00 g,6.800 g,3.210 g,0.410 g,34.00 mg,0.0 g,1.00 g,3.00 mg,62.00 mg,55.70 g
77,higos ,100 g,249,0.9g,0.1g,0,10.00 mg,15.8 mg,9.00 mcg,0.00 mcg,0.619 mg,0.434 mg,0.082 mg,0.085 mg,10.00 IU,0.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,32.00 mcg,0,0.00 mcg,0.106 mg,1.2 mg,0.00 IU,0.35 mg,0.35 mg,15.6 mcg,162.00 mg,0.287 mg,2.03 mg,68.00 mg,0.510 mg,67.00 mg,680.00 mg,0.6 mcg,0.55 mg,3.30 g,0.134 g,0.077 g,0.645 g,0.036 g,0.295 g,0.108 g,0.037 g,0,0.089 g,0.128 g,0.088 g,0.034 g,0.076 g,0.610 g,0.128 g,0.085 g,0.020 g,0.041 g,0.122 g,63.87 g,9.8 g,47.92 g,22.93 g,0.13 g,24.79 g,0.00 g,0.00 g,0.07 g,0.93 g,0.144 g,0.159 g,0.345 g,0.00 mg,0.0 g,1.86 g,0.00 mg,0.00 mg,30.05 g
79,jarabe de frutas,100 g,261,0g,,0,0.00 mg,0.0 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.011 mg,0.007 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.007 mg,0.03 mg,1.00 mg,0.002 mg,0.00 mg,1.00 mg,0.4 mcg,0.06 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.10 g,0.0 g,65.00 g,0,0,0,0,0,0,0.02 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.06 g,0.00 mg,0.00 mg,34.82 g
81,crema agria,100 g,198,19g,10g,59mg,31.00 mg,19.2 mg,6.00 mcg,0.00 mcg,0.093 mg,0.472 mg,0.168 mg,0.020 mg,447.00 IU,124.00 mcg,0.00 mcg,25.00 mcg,1.00 mcg,4.00 mcg,0,0.21 mcg,0.041 mg,0.9 mg,0.00 IU,0.38 mg,0.38 mg,1.5 mcg,101.00 mg,0.018 mg,0.07 mg,10.00 mg,0.015 mg,76.00 mg,125.00 mg,3.7 mcg,0.33 mg,2.44 g,0.116 g,0.117 g,0.262 g,0.029 g,0.673 g,0.076 g,0.092 g,0,0.163 g,0.322 g,0.275 g,0.078 g,0.157 g,0.310 g,0.191 g,0.142 g,0.042 g,0.152 g,0.195 g,4.63 g,0.0 g,3.41 g,0.00 g,0.00 g,0.00 g,3.41 g,0.00 g,0.00 g,19.35 g,10.140 g,4.594 g,0.800 g,59.00 mg,0.0 g,0.51 g,0.00 mg,0.00 mg,73.07 g
82,salsa enlatada,100 g,16,0.2g,0.1g,0,478.00 mg,0,2.00 mcg,0.00 mcg,0.900 mg,0.020 mg,0.060 mg,0.020 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.10 mcg,0.010 mg,1.0 mg,0,0,0,0,4.00 mg,0.100 mg,0.60 mg,2.00 mg,0.200 mg,30.00 mg,81.00 mg,0.4 mcg,1.00 mg,1.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50 g,0.0 g,0,0,0,0,0,0,0,0.20 g,0.100 g,0.080 g,0.010 g,0.00 mg,0,1.60 g,0,0,94.50 g
83,"McDonald's, hamburguesa",100 g,264,10g,3.5g,27mg,494.00 mg,0,64.00 mcg,0,4.544 mg,0,0.239 mg,0.247 mg,55.00 IU,0,0,0,0,0,0,0.83 mcg,0,0.6 mg,0,0,0,0,127.00 mg,0.096 mg,2.87 mg,21.00 mg,0.322 mg,107.00 mg,192.00 mg,26.2 mcg,1.95 mg,12.92 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.28 g,1.3 g,6.03 g,3.30 g,0.00 g,2.10 g,0.00 g,0.63 g,0.00 g,10.09 g,3.504 g,3.768 g,1.420 g,27.00 mg,0,2.18 g,0,0,44.53 g
85,crema de leche,100 g,100,6.7g,,0,67.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,0.0 mg,0,0,0,0,0.00 mg,0,0.00 mg,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67 g,0.0 g,0.00 g,0,0,0,0,0,0,6.67 g,0.000 g,0,0,0.00 mg,0,0.38 g,0,0,86.29 g
86,crema de avellana,100 g,133,6.7g,,0,67.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,200.0 mg,0,0,0,0,0.00 mg,0,0.00 mg,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.00 g,0.0 g,20.00 g,0,0,0,0,0,0,6.67 g,0.000 g,0,0,0.00 mg,0,0.38 g,0,0,72.95 g
90,salami de cerdo,100 g,425,37g,13g,80mg,1890.00 mg,0,2.00 mcg,0.00 mcg,5.600 mg,1.060 mg,0.330 mg,0.930 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.80 mcg,0.550 mg,0.0 mg,0,0,0,0,10.00 mg,0.160 mg,1.52 mg,22.00 mg,0.070 mg,229.00 mg,340.00 mg,25.4 mcg,4.20 mg,21.70 g,1.336 g,1.373 g,2.095 g,0.289 g,3.829 g,1.553 g,0.614 g,0,1.084 g,1.625 g,1.878 g,0.470 g,0.940 g,1.336 g,0.903 g,1.012 g,0.253 g,0.686 g,1.120 g,1.20 g,0.0 g,1.20 g,0,0,0,0,0,0,37.00 g,13.100 g,18.200 g,3.600 g,80.00 mg,0.0 g,5.50 g,0.00 mg,0.00 mg,34.60 g
91,Galletas saladas,100 g,427,14g,2.1g,0,704.00 mg,27.2 mg,28.00 mcg,0.00 mcg,4.630 mg,0.832 mg,0.021 mg,0.182 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,179.00 mcg,0,0.00 mcg,0.185 mg,0.0 mg,0.00 IU,1.41 mg,1.41 mg,27.2 mcg,36.00 mg,0.420 mg,3.34 mg,110.00 mg,2.152 mg,331.00 mg,345.00 mg,10.1 mcg,2.63 mg,10.58 g,0.393 g,0.480 g,0.543 g,0.228 g,3.065 g,0.427 g,0.238 g,0,0.364 g,0.703 g,0.271 g,0.170 g,0.480 g,1.004 g,0.461 g,0.301 g,0.141 g,0.194 g,0.465 g,69.55 g,10.3 g,1.19 g,0.00 g,0.00 g,0.32 g,0.00 g,0.00 g,0.86 g,14.13 g,2.063 g,3.248 g,6.945 g,0.00 mg,0.0 g,2.80 g,0.00 mg,0.00 mg,2.94 g
92,"maní, cacahuate",100 g,570,50g,7.1g,0,22.00 mg,0,240.00 mcg,0.00 mcg,15.925 mg,1.769 mg,0.135 mg,0.675 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.348 mg,0.0 mg,0.00 IU,0,0,0.0 mcg,106.00 mg,0.900 mg,3.91 mg,188.00 mg,2.640 mg,388.00 mg,744.00 mg,7.2 mcg,2.12 mg,26.15 g,1.039 g,3.128 g,3.190 g,0.335 g,5.465 g,1.576 g,0.661 g,0,0.920 g,1.696 g,0.939 g,0.321 g,1.356 g,1.154 g,1.289 g,0.896 g,0.254 g,1.063 g,1.097 g,15.83 g,9.5 g,0,0,0,0,0,0,0,49.60 g,7.098 g,22.325 g,17.238 g,0.00 mg,0.0 g,2.03 g,0.00 mg,0.00 mg,6.39 g
96,rábano ,100 g,48,0.7g,0.1g,0,420.00 mg,6.5 mg,57.00 mcg,0.00 mcg,0.386 mg,0.093 mg,0.024 mg,0.008 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,10.00 mcg,0,0.00 mcg,0.073 mg,24.9 mg,0.00 IU,0.01 mg,0.01 mg,1.3 mcg,56.00 mg,0.058 mg,0.42 mg,27.00 mg,0.126 mg,31.00 mg,246.00 mg,2.8 mcg,0.83 mg,1.18 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29 g,3.3 g,7.99 g,0,0,0,0,0,0,0.69 g,0.090 g,0.130 g,0.339 g,0.00 mg,0.0 g,1.76 g,0.00 mg,0.00 mg,85.08 g
102,malvaviscos,100 g,318,0.2g,0.1g,0,80.00 mg,0.1 mg,1.00 mcg,0.00 mcg,0.078 mg,0.005 mg,0.001 mg,0.001 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.003 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,3.00 mg,0.097 mg,0.23 mg,2.00 mg,0.008 mg,8.00 mg,5.00 mg,1.7 mcg,0.04 mg,1.80 g,0.180 g,0.147 g,0.121 g,0.002 g,0.208 g,0.416 g,0.017 g,0,0.028 g,0.066 g,0.077 g,0.015 g,0.042 g,0.275 g,0.061 g,0.035 g,0.000 g,0.010 g,0.050 g,81.30 g,0.1 g,57.56 g,0,0,0,0,0,0,0.20 g,0.056 g,0.080 g,0.047 g,0.00 mg,0.0 g,0.30 g,0.00 mg,0.00 mg,16.40 g
103,hummus casero,100 g,177,8.6g,1.1g,0,242.00 mg,27.8 mg,59.00 mcg,0.00 mcg,0.399 mg,0.287 mg,0.052 mg,0.089 mg,5.00 IU,0.00 mcg,0.00 mcg,2.00 mcg,2.00 mcg,1.00 mcg,0,0.00 mcg,0.399 mg,7.9 mg,0.00 IU,0.75 mg,0.75 mg,3.0 mcg,49.00 mg,0.224 mg,1.56 mg,29.00 mg,0.567 mg,110.00 mg,173.00 mg,2.4 mcg,1.09 mg,4.86 g,0.213 g,0.501 g,0.544 g,0.071 g,0.882 g,0.223 g,0.134 g,0,0.206 g,0.346 g,0.291 g,0.080 g,0.256 g,0.201 g,0.245 g,0.182 g,0.057 g,0.134 g,0.215 g,20.12 g,4.0 g,0.27 g,0,0,0,0,0,0,8.59 g,1.141 g,4.865 g,2.109 g,0.00 mg,0.0 g,1.56 g,0.00 mg,0.00 mg,64.87 g
106,chile serrano,100 g,32,0.4g,0.1g,0,10.00 mg,8.9 mg,23.00 mcg,0.00 mcg,1.537 mg,0.200 mg,0.081 mg,0.054 mg,937.00 IU,47.00 mcg,18.00 mcg,534.00 mcg,40.00 mcg,544.00 mcg,0,0.00 mcg,0.505 mg,44.9 mg,0.00 IU,0.69 mg,0.69 mg,11.8 mcg,11.00 mg,0.129 mg,0.86 mg,22.00 mg,0.187 mg,40.00 mg,305.00 mg,0.4 mcg,0.26 mg,1.74 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70 g,3.7 g,3.83 g,0,0,0,0,0,0,0.44 g,0.059 g,0.023 g,0.222 g,0.00 mg,0.0 g,0.87 g,0.00 mg,0.00 mg,90.25 g
107,repollo,100 g,12,0.2g,,0,11.00 mg,0,43.00 mcg,0.00 mcg,0.466 mg,0.035 mg,0.025 mg,0.005 mg,263.00 IU,13.00 mcg,49.00 mcg,133.00 mcg,0.00 mcg,0,0,0.00 mcg,0.037 mg,3.2 mg,0.00 IU,0,0,0,29.00 mg,0.096 mg,0.74 mg,8.00 mg,0.203 mg,19.00 mg,87.00 mg,0.4 mcg,0.14 mg,1.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23 g,0,0,0,0,0,0,0,0,0.17 g,0,0,0,0.00 mg,0.0 g,0.17 g,0,0,96.33 g
108,pimiento ancho,100 g,281,8.2g,0.8g,0,43.00 mg,0,69.00 mcg,0.00 mcg,6.403 mg,1.993 mg,2.255 mg,0.179 mg,20438.00 IU,1022.00 mcg,0,0,0,0,0,0.00 mcg,3.535 mg,2.0 mg,0.00 IU,0,0,0,61.00 mg,0.508 mg,10.93 mg,113.00 mg,1.279 mg,201.00 mg,2411.00 mg,2.9 mcg,1.42 mg,11.86 g,0.476 g,0.554 g,1.661 g,0.219 g,1.532 g,0.425 g,0.232 g,0,0.373 g,0.605 g,0.515 g,0.142 g,0.361 g,0.502 g,0.464 g,0.425 g,0.155 g,0.245 g,0.489 g,51.42 g,21.6 g,0,0,0,0,0,0,0,8.20 g,0.820 g,0.492 g,4.511 g,0.00 mg,0.0 g,5.89 g,0,0,22.63 g
109,perejil,100 g,271,5.2g,,0,391.00 mg,0,194.00 mcg,0.00 mcg,10.400 mg,2.516 mg,2.260 mg,1.040 mg,63240.00 IU,0,0,0,0,0,0,0.00 mcg,1.375 mg,149.0 mg,0.00 IU,0,0,0,176.00 mg,0.459 mg,53.90 mg,372.00 mg,1.338 mg,548.00 mg,6300.00 mg,32.3 mcg,6.11 mg,31.30 g,0,0,0,0,0,0,0,0,0,0,3.115 g,0.210 g,0,0,0,0,0.516 g,0,0,42.38 g,32.7 g,0,0,0,0,0,0,0,5.20 g,0,0,0,0.00 mg,0,19.12 g,0,0,2.00 g
110,pimienta negra,100 g,251,3.3g,1.4g,0,20.00 mg,11.3 mg,17.00 mcg,0.00 mcg,1.143 mg,1.399 mg,0.180 mg,0.108 mg,547.00 IU,27.00 mcg,12.00 mcg,310.00 mcg,25.00 mcg,454.00 mcg,0,0.00 mcg,0.291 mg,0.0 mg,0.00 IU,1.04 mg,1.04 mg,163.7 mcg,443.00 mg,1.330 mg,9.71 mg,171.00 mg,12.753 mg,158.00 mg,1329.00 mg,4.9 mcg,1.19 mg,10.39 g,0.616 g,0.308 g,1.413 g,0.138 g,1.413 g,0.441 g,0.159 g,0.000 g,0.366 g,1.014 g,0.244 g,0.096 g,0.446 g,1.413 g,0.409 g,0.244 g,0.058 g,0.483 g,0.547 g,63.95 g,25.3 g,0.64 g,0.23 g,0.15 g,0.24 g,0.00 g,0.00 g,0.02 g,3.26 g,1.392 g,0.739 g,0.998 g,0.00 mg,0.0 g,4.49 g,0.00 mg,0.00 mg,12.46 g
111,pimienta blanca,100 g,296,2.1g,0.6g,0,5.00 mg,0,10.00 mcg,0.00 mcg,0.212 mg,0,0.126 mg,0.022 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.100 mg,21.0 mg,0.00 IU,0,0,0,265.00 mg,0.910 mg,14.31 mg,90.00 mg,4.300 mg,176.00 mg,73.00 mg,3.1 mcg,1.13 mg,10.40 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.61 g,26.2 g,0,0,0,0,0,0,0,2.12 g,0.626 g,0.789 g,0.616 g,0.00 mg,0.0 g,1.59 g,0,0,11.42 g
114,kiwi,100 g,61,0.5g,,0,3.00 mg,7.8 mg,25.00 mcg,0.00 mcg,0.341 mg,0.183 mg,0.025 mg,0.027 mg,87.00 IU,4.00 mcg,0.00 mcg,52.00 mcg,0.00 mcg,122.00 mcg,0,0.00 mcg,0.063 mg,92.7 mg,0.00 IU,1.46 mg,1.46 mg,40.3 mcg,34.00 mg,0.130 mg,0.31 mg,17.00 mg,0.098 mg,34.00 mg,312.00 mg,0.2 mcg,0.14 mg,1.14 g,0.053 g,0.081 g,0.126 g,0.031 g,0.184 g,0.060 g,0.027 g,0,0.051 g,0.066 g,0.061 g,0.024 g,0.044 g,0.044 g,0.053 g,0.047 g,0.015 g,0.034 g,0.057 g,14.66 g,3.0 g,8.99 g,4.35 g,0.17 g,4.11 g,0.00 g,0.19 g,0.15 g,0.52 g,0.029 g,0.047 g,0.287 g,0.00 mg,0.0 g,0.61 g,0.00 mg,0.00 mg,83.07 g
117,caramelo,100 g,391,3.3g,2.1g,9mg,391.00 mg,0.8 mg,0.00 mcg,0.00 mcg,0.002 mg,0.004 mg,0.016 mg,0.012 mg,100.00 IU,28.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.09 mg,0.09 mg,0.3 mcg,4.00 mg,0.001 mg,0.01 mg,0.00 mg,0.001 mg,1.00 mg,3.00 mg,0.6 mcg,0.09 mg,0.03 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.40 g,0.0 g,80.46 g,0,0,0,0,0,0,3.30 g,2.065 g,0.845 g,0.122 g,9.00 mg,0.0 g,1.01 g,0.00 mg,0.00 mg,5.25 g
118,pepino,100 g,12,0.2g,,0,2.00 mg,5.7 mg,14.00 mcg,0.00 mcg,0.037 mg,0.240 mg,0.025 mg,0.031 mg,72.00 IU,4.00 mcg,8.00 mcg,31.00 mcg,18.00 mcg,16.00 mcg,0,0.00 mcg,0.051 mg,3.2 mg,0.00 IU,0.03 mg,0.03 mg,7.2 mcg,14.00 mg,0.071 mg,0.22 mg,12.00 mg,0.073 mg,21.00 mg,136.00 mg,0.1 mcg,0.17 mg,0.59 g,0.031 g,0.031 g,0.037 g,0.007 g,0.204 g,0.025 g,0.002 g,0,0.012 g,0.025 g,0.025 g,0.012 g,0.031 g,0.012 g,0.025 g,0.012 g,0.007 g,0.002 g,0.012 g,2.16 g,0.7 g,1.38 g,0.75 g,0.00 g,0.63 g,0.00 g,0.00 g,0.00 g,0.16 g,0.013 g,0.002 g,0.003 g,0.00 mg,0.0 g,0.36 g,0.00 mg,0.00 mg,96.73 g
120,melón melones,100 g,36,0.1g,,0,18.00 mg,7.6 mg,19.00 mcg,0.00 mcg,0.418 mg,0.155 mg,0.012 mg,0.038 mg,50.00 IU,3.00 mcg,0.00 mcg,30.00 mcg,0.00 mcg,27.00 mcg,0,0.00 mcg,0.088 mg,18.0 mg,0.00 IU,0.02 mg,0.02 mg,2.9 mcg,6.00 mg,0.024 mg,0.17 mg,10.00 mg,0.027 mg,11.00 mg,228.00 mg,0.7 mcg,0.09 mg,0.54 g,0.044 g,0.014 g,0.088 g,0.005 g,0.153 g,0.016 g,0.005 g,0,0.013 g,0.016 g,0.018 g,0.005 g,0.015 g,0.012 g,0.023 g,0.013 g,0.005 g,0.010 g,0.018 g,9.09 g,0.8 g,8.12 g,2.96 g,0.00 g,2.68 g,0.00 g,0.00 g,2.48 g,0.14 g,0.038 g,0.003 g,0.059 g,0.00 mg,0.0 g,0.41 g,0.00 mg,0.00 mg,89.82 g
122,Champiñones,100 g,22,0.3g,0.1g,0,5.00 mg,17.3 mg,17.00 mcg,0.00 mcg,3.607 mg,1.497 mg,0.402 mg,0.081 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.04 mcg,0.104 mg,2.1 mg,7.00 IU,0.01 mg,0.01 mg,0.0 mcg,3.00 mg,0.318 mg,0.50 mg,9.00 mg,0.047 mg,86.00 mg,318.00 mg,9.3 mcg,0.52 mg,3.09 g,0.199 g,0.078 g,0.195 g,0.012 g,0.343 g,0.092 g,0.057 g,0,0.076 g,0.120 g,0.107 g,0.031 g,0.085 g,0.076 g,0.094 g,0.107 g,0.035 g,0.044 g,0.232 g,3.26 g,1.0 g,1.98 g,0.17 g,0.00 g,1.48 g,0.00 g,0.00 g,0.00 g,0.34 g,0.050 g,0.000 g,0.160 g,0.00 mg,0.0 g,0.85 g,0.00 mg,0.00 mg,92.45 g
124,queso mexicano,100 g,358,29g,17g,95mg,338.00 mg,15.7 mg,13.00 mcg,0.00 mcg,0.114 mg,0.249 mg,0.318 mg,0.023 mg,659.00 IU,174.00 mcg,0.00 mcg,56.00 mcg,0.00 mcg,0.00 mcg,0,1.23 mcg,0.061 mg,0.0 mg,21.00 IU,0.25 mg,0.25 mg,2.5 mcg,659.00 mg,0.025 mg,0.59 mg,25.00 mg,0.022 mg,438.00 mg,85.00 mg,15.0 mcg,3.01 mg,23.54 g,0.650 g,0.785 g,1.570 g,0.117 g,5.403 g,0.403 g,0.735 g,0,1.356 g,2.170 g,1.655 g,0.600 g,1.200 g,2.580 g,1.198 g,0.869 g,0.355 g,1.122 g,1.511 g,1.75 g,0.0 g,1.23 g,0.04 g,0.04 g,0.14 g,0.08 g,0.06 g,0.07 g,28.51 g,17.027 g,7.871 g,0.864 g,95.00 mg,0.0 g,3.72 g,0.00 mg,0.00 mg,42.48 g
130,Yogur de soya,100 g,66,1.8g,0.2g,0,13.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,0,0,0,0,0,0,13.2 mg,53.00 IU,0,0,0,132.00 mg,0,0,0,0,0,0,0,0,2.64 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69 g,0.4 g,5.29 g,0,0,0,0,0,0,1.76 g,0.220 g,0,0,0.00 mg,0,1.24 g,0,0,84.67 g
131,salsa de mole,100 g,40,0g,,0,867.00 mg,0,0,0,0,0,0,0,667.00 IU,0,0,0,0,0,0,0,0,2.0 mg,0,0,0,0,0,0,0.60 mg,0,0,0,0,0,0,1.67 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33 g,1.7 g,6.67 g,0,0,0,0,0,0,0.00 g,0.000 g,0,0,0.00 mg,0,2.90 g,0,0,87.10 g
